year,rank,title,author,price,rating,format
1995,1,How to Set Up and Maintain a World Wide Web Site: The Guide for Information Providers,Lincoln Stein,$3.99,1.0,Hardcover
1995,2,A Mathematician Reads The Newspaper,John Allen Paulos,$7.00,4.7,Hardcover
1995,3,Brightness Reef (Bantam Spectra Book),David Brin,$21.99,4.2,Hardcover
1995,4,Silicon Snake Oil: Second Thoughts on the Information Highway,Clifford Stoll,$15.41,4.0,Hardcover
1995,5,The Dark and Deadly Pool,Joan Lowery Nixon,$1.49,4.3,Mass Market Paperback
1995,6,Being Digital,Nicholas Negroponte,$14.60,4.4,Hardcover
1995,7,Learning the UNIX Operating System (Nutshell Handbooks),Jerry Peek,$9.95,5.0,Paperback
1995,8,Emblems of Mind: The Inner Life of Music and Mathematics,Edward Rothstein,$2.25,4.3,Hardcover
1995,9,Fluid Concepts And Creative Analogies: Computer Models Of The Fundamental Mechanisms Of Thought,Douglas R. Hofstadter,$27.01,4.5,Hardcover
1995,10,The Bold Vegetarian: 150 Inspired International Recipes,B. Kirchner,$22.03,4.6,Paperback
1995,11,Copy Workshop Workbook: Second Edition,Bruce Bendinger,$62.03,3.8,Paperback
1995,12,N/A,N/A,$8.84,4.4,N/A
1995,13,The Beak of the Finch: A Story of Evolution in Our Time,Jonathan Weiner,$11.09,4.6,Paperback
1995,14,"The Diamond Age, or, A Young Lady's Illustrated Primer",Neal Stephenson,$5.76,4.4,Hardcover
1995,15,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas Hofstadter,$39.99,4.4,Paperback
1995,16,"Sundiver (The Uplift Saga, Book 1)",David Brin,$2.27,4.1,Mass Market Paperback
1995,17,An Anthropologist On Mars: Seven Paradoxical Tales,Oliver Sacks,$20.76,4.6,Hardcover
1995,18,The Language Instinct: How the Mind Creates Language,Steven Pinker,$13.90,4.5,Paperback
1995,19,It's Obvious You Won't Survive By Your Wits Alone (Volume 6),Scott Adams,$1.00,4.1,Paperback
1995,20,"Applied Cryptography: Protocols, Algorithms, and Source Code in C",Bruce Schneier,$59.31,4.4,Paperback
1995,21,"The Uplift War (The Uplift Saga, Book 3)",David Brin,$1.52,4.5,Mass Market Paperback
1995,22,The Lost World,Michael Crichton,$13.44,4.6,Hardcover
1995,23,"Debugging the Development Process: Practical Strategies for Staying Focused, Hitting Ship Dates, and Building Solid Teams",Steve Maguire,$14.55,4.2,Paperback
1995,24,Emotional Intelligence: Why It Can Matter More than IQ,Daniel Goleman,$9.17,4.6,Hardcover
1995,25,Doomsday Book,Connie Willis,$2.09,4.4,Mass Market Paperback
1995,26,"Startide Rising (The Uplift Saga, Book 2)",David Brin,$1.95,4.4,Mass Market Paperback
1995,27,HIGH TRAIL TO DANGER (A Bantam Starfire Book),Meg O'Brien,$6.00,2.0,Mass Market Paperback
1995,28,The Art of War (Shambhala Pocket Classics),Sun Tzu,$8.95,4.5,Paperback
1995,29,Communities Directory: A Guide to Cooperative Living :1995 (Communities Directory: A Guide to Intentional Communities & Cooperative Living),Fellowship for Intentional Community,$19.99,2.0,Paperback
1995,30,The Age of Innocence,David Hamilton,$85.00,4.1,Hardcover
1995,31,Learning Perl (Nutshell Handbooks),"Andy (editor) Schwartz, Randal L.; Oram",$8.39,4.8,Paperback
1995,32,"Mirror Image (Tom Clancy's Op-Center, Book 2)",Tom Clancy,$7.43,4.4,Mass Market Paperback
1995,33,Snow Falling On Cedars,David Guterson,$9.91,4.3,Paperback
1995,34,Life on the Screen,Sherry Turkle,$13.05,4.2,Hardcover
1995,35,The Calvin and Hobbes Tenth Anniversary Book (Volume 13),Bill Watterson,$11.49,4.8,Paperback
1995,36,Inside the Tornado: Marketing Strategies from Silicon Valley's Cutting Edge,Geoffrey A. Moore,$19.85,4.5,Hardcover
1995,37,The Big Book of Weirdos,Carl A. Posey,$5.63,4.9,Paperback
1995,38,Valis,Philip K. Dick,$15.00,4.4,Paperback
1995,39,Snow Crash,Neal Stephenson,$3.21,4.3,Mass Market Paperback
1995,40,Six Easy Pieces: Essentials of Physics Explained by Its Most Brilliant Teacher (boxed set: hardcover book + 6 CDs),Richard P. Feynman,$44.78,4.6,Paperback
1995,41,Joseph J. Phillips,Joseph J. Phillips,$7.26,N/A,Paperback
1995,42,Permutation City,Greg Egan,$26.18,4.2,Mass Market Paperback
1995,43,The Innkeeper's Song,Peter S. Beagle,$45.00,4.3,Paperback
