year,title,url,description
1995,How to Set Up and Maintain a World Wide Web Site: The Guide for Information Providers,https://www.amazon.com/How-Maintain-World-Wide-Site/dp/0201633892/ref=zg_bsar_g_books_d_sccl_1/134-6566469-0897409?psc=1,"In one concise volume, this book contains all of the essential information needed to create and maintain a World Wide Web site. You will find information on finding, compiling, installing and configuring web server software; on understanding the ins and outs of HTTP and HTML; on converting existing documents to HTML; on incorporating graphics, sound and video into your pages; on incorporating executable programs that run such features as searchable indexes, fill-out forms, clikable maps, and gateways to other services; and on writing server scripts to create dynamic documents. Lincoln D. Stein is Director of Informatics at the Whitehead Institute/ MIT Center for Genome Research, one of the world's most respected biomedical research sites. Dr. Stein set up the Institute's Web server, and this book was born of his experiences and frustrations in gathering the information necessary to accomplish this task. Dr. Stein also teaches at Harvard Medical School, and is the author of several articles in the fields of computer science and medical research. This book is one of Amazon.com's best selling titles, appropriately enough."
1995,A Mathematician Reads The Newspaper,https://www.amazon.com/Mathematician-Reads-Newspaper-Allen-Paulos/dp/0465043623/ref=zg_bsar_g_books_d_sccl_2/134-6566469-0897409?psc=1,"John Allen Paulos is a master at shedding mathematical lights on our everyday world:What exactly did Lani Guinier say about quotas?What is the probability of identifying a murderer through DNA testing?Which are the real risks to our health and which the phony ones?Employing the same fun-filled, user-friendly, and quirkily insightful approach that put Innumeracy on best-seller lists, Paulos now leads us through the pages of the daily newspaper, revealing the hidden mathematical angles of countless articles. From the Senate, the SATs, and sex to crime, celebrities, and cults, Paulos takes stories that may not seem to involve mathematics at all and demonstrates how mathematical naïveté can put readers at a distinct disadvantage.Whether he's using chaos theory to puncture economic and environmental predictions, applying logic and self-reference to clarify the hazards of spin doctoring and news compression, or employing arithmetic and common sense to give us a novel perspective on greed and relationships, Paulos never fails to entertain and enlighten.Even if you hated math in school, you'll love the numerical vignettes in this book."
1995,Brightness Reef (Bantam Spectra Book),https://www.amazon.com/Brightness-Reef-Bantam-Spectra-Book/dp/0553100343/ref=zg_bsar_g_books_d_sccl_3/134-6566469-0897409?psc=1,"In the centuries after the planet Jijo is abandoned for the sake of restoring ecological balance, six different species secretly colonize the planet and live in ongoing fear of being discovered and punished by the Five Galaxy patrollers"
1995,Silicon Snake Oil: Second Thoughts on the Information Highway,https://www.amazon.com/Silicon-Snake-Oil-Thoughts-Information/dp/0385419937/ref=zg_bsar_g_books_d_sccl_4/134-6566469-0897409?psc=1,"In Silicon Snake Oil , Clifford Stoll, the best-selling author of The Cuckoo's Egg and one of the pioneers of the Internet, turns his attention to the much-heralded information highway, revealing that it is not all it's cracked up to be.  Yes, the Internet provides access to plenty of services, but useful information is virtually impossible to find and difficult to access. Is being on-line truly useful? ""Few aspects of daily life require computers...They're irrelevant to cooking, driving, visiting, negotiating, eating, hiking, dancing, speaking, and gossiping. You don't need a computer to...recite a poem or say a prayer."" Computers can't, Stoll claims, provide a richer or better life. A cautionary tale about today's media darling, Silicon Snake Oil has sparked intense debate across the country about the merits--and foibles--of what's been touted as the entranceway to our future. From the Trade Paperback edition."
1995,The Dark and Deadly Pool,https://www.amazon.com/Dark-Deadly-Laurel-Leaf-Suspense-Fiction/dp/0440203481/ref=zg_bsar_g_books_d_sccl_5/134-6566469-0897409?psc=1,"Liz enjoys her summer pool job at the glamorous Ridley Hotel.  Until the night, a dark and lonely night, a ghasty shadow surges up from the pool.  A face -- eyes wide, mouth gaping -- stares at Liz.  A hand clutches at her sneaker.  Then it, whatever it is, is gone. But danger isn't.  Strange things are happening at the hotel, and a shaken Liz wants to know why.  But whoever is behind the trouble will stop at nothing -- even murder -- to get what he wants..."
1995,Being Digital,https://www.amazon.com/Being-Digital-Nicholas-Negroponte/dp/0679439196/ref=zg_bsar_g_books_d_sccl_6/134-6566469-0897409?psc=1,"One of the founding fathers of the information age discusses the impact of digital technology on the modern world, discussing such topics as multimedia, the effects of digital transmission on copyright, and virtual reality. 100,000 first printing. $100,000 ad/promo. Tour."
1995,Learning the UNIX Operating System (Nutshell Handbooks),https://www.amazon.com/Learning-Operating-System-Nutshell-Handbooks/dp/1565920600/ref=zg_bsar_g_books_d_sccl_7/134-6566469-0897409?psc=1,"If you are new to UNIX, this concise introduction will tell you just what you need to get started and no more. Why wade through a 600-page book when you can begin working productively in a matter of minutes?Topics covered include: Logging in and logging outContents include: Window systems (especially X/Motif) Managing UNIX files and directories Sending and receiving mail Redirecting input/output Pipes and filters Background processing This book is the most effective introduction to UNIX in print. The third edition provides increased coverage of window systems and networking. It's a handy book for someone just starting with UNIX, as well as someone who encounters a UNIX system as a ""visitor"" via remote login over the Internet."
1995,Emblems of Mind: The Inner Life of Music and Mathematics,https://www.amazon.com/Emblems-Mind-Inner-Music-Mathematics/dp/0812925602/ref=zg_bsar_g_books_d_sccl_8/134-6566469-0897409?psc=1,"The chief music critic of The New York Times explores the mysterious relationship between music and mathematics, detailing their common origins, their historical interconnections, and the similarities in their stated goals. 20,000 first printing."
1995,Fluid Concepts And Creative Analogies: Computer Models Of The Fundamental Mechanisms Of Thought,https://www.amazon.com/Fluid-Concepts-Creative-Analogies-Fundamental/dp/0465051545/ref=zg_bsar_g_books_d_sccl_9/134-6566469-0897409?psc=1,"Readers of earlier works by Douglas Hofstadter will find this book a natural extension of his style and his ideas about creativity and analogy; in addition, psychologists, philosophers, and artificial-intelligence researchers will find in this elaborate web of ingenious ideas a deep and challenging new view of mind."
1995,The Bold Vegetarian: 150 Inspired International Recipes,https://www.amazon.com/Bold-Vegetarian-Inspired-International-Recipes/dp/0060950560/ref=zg_bsar_g_books_d_sccl_10/134-6566469-0897409?psc=1,"Diverse ethnic influences inform more than 150 recipes for an array of original, flavorful, healthy, vegetarian dishes that are easy to prepare and that stress fresh ingredients and imagination. Original. National ad/promo. Tour."
